pred_delta_ratio,real_delta_ratio,pred_delta,real_delta,real_price
0.10142898,0.3451318,1.921381025253071,3.8200000000000216,136.71
-0.023239508,-0.08876641,0.8032802027632673,0.2699999999999818,136.98
-0.06458492,-0.31977138,0.6480452030378416,-1.6199999999999761,135.36
0.07895361,-0.4077733,1.7076292805512447,-2.3400000000000034,133.02
-0.1253791,0.26079667,-0.03853081328440755,3.1299999999999955,136.15
0.39300737,0.2717969,3.908228543674724,3.219999999999999,139.37
0.25832978,0.3549098,3.3028359196369292,3.9000000000000057,143.27
-0.016006805,-0.13765635,0.9084026531705778,-0.13000000000002387,143.14
0.25518954,-0.32221588,3.0458571220669897,-1.6399999999999864,141.5
0.12150785,0.58713704,2.099751033464527,5.800000000000011,147.3
0.12900859,0.42091122,2.094929124756655,4.439999999999998,151.74
-0.004740417,-0.6937794,0.943435263947575,-4.680000000000007,147.06
0.11779928,0.11168235,2.0493738438774916,1.9099999999999966,148.97
3.7986715,0.385466,33.84243470825737,4.150000000000006,153.12
0.03328789,4.235549,1.21044202623056,35.650000000000006,188.77
-0.6878169,-0.3955508,-4.920283616805215,-2.240000000000009,186.53
1.2211357,-0.1792128,11.699393834524061,-0.46999999999999886,186.06
-0.24462435,0.55780303,-1.1037595485948786,5.560000000000002,191.62
-1.0073482,-1.1227887,-7.353903477876354,-8.189999999999998,183.43
-0.5357189,-0.79522604,-3.6157609229635694,-5.510000000000019,177.92
-0.23507495,-0.5825548,-1.0021747197650686,-3.769999999999982,174.15
-0.24458136,0.52358013,-1.119973405061581,5.280000000000001,179.43
-0.07586157,-0.11565588,0.5541086810362488,0.04999999999998295,179.48
-0.60547304,-0.40532878,-4.103099182634177,-2.319999999999993,177.16
0.03534766,-0.6986684,1.356168244537237,-4.719999999999999,172.44
-0.4923614,-0.06798818,-3.022742647792116,0.4399999999999977,172.88
-0.15262961,-0.219547,-0.24190813452211724,-0.799999999999983,172.08
-0.38843882,-0.23910297,-2.3256849316304984,-0.960000000000008,171.12
-0.41702768,-0.0093202535,-2.744829280421322,0.9199999999999875,172.04
-0.5671605,-0.32343814,-3.785832806956675,-1.6500000000000057,170.39
-0.018275794,-0.22565824,0.8447023491143385,-0.8499999999999943,169.54
-0.021952823,0.5382471,0.7948416887543833,5.400000000000006,174.94
0.12600604,-0.30754888,2.1195208104535794,-1.5200000000000102,173.42
0.485007,0.013902469,5.140492862645716,1.1100000000000136,174.53
-0.043129995,1.1884834,0.5771047025397469,10.719999999999999,185.25
