pred_delta_ratio,real_delta_ratio,pred_delta,real_delta,real_price
0.8515072,-0.2222128,2.291660654160966,-0.39000000000000057,91.13
-0.31978598,0.3459368,-0.6516919970313814,0.9900000000000091,92.12
-0.0051885694,-0.40336195,0.16791116687397922,-0.8299999999999983,91.29
0.38956082,-0.13163823,1.0315475611706273,-0.1700000000000017,91.12
0.67748,0.7329373,1.8344802296796454,1.9299999999999926,93.05
0.8917726,1.9845133,2.38801885513316,4.969999999999999,98.02
-0.07652877,0.66706485,-0.015225163890938004,1.7700000000000102,99.79
0.1347445,-0.9221073,0.5024685045374383,-2.0900000000000034,97.7
0.83100355,-1.0826713,2.242422319540652,-2.480000000000004,95.22
-0.2603597,0.88526726,-0.4815591288562885,2.299999999999997,97.52
-0.074392155,0.70000106,-0.03507131199361971,1.8500000000000085,99.37
0.9120011,-1.0620861,2.453829826772794,-2.430000000000007,96.94
0.44052035,0.7205862,1.2756889334821695,1.9000000000000057,98.84
2.2878606,0.5929584,5.78796922433736,1.5900000000000034,100.43
-0.2677061,2.9478974,-0.4563374732715881,7.309999999999988,107.74
-0.7314578,-1.2802886,-1.6388088959493732,-2.9599999999999937,104.78
0.5306096,-0.8356497,1.497768719803912,-1.8799999999999955,102.9
-1.1302547,1.8898216,-2.542389046929762,4.739999999999995,107.64
-0.4887271,-3.4664295,-0.9916455521788534,-8.269999999999996,99.37
-1.3236492,-1.8566722,-3.0964203862239628,-4.359999999999999,95.01
-0.5748614,-0.24279793,-1.2356277185265259,-0.44000000000001194,94.57
-0.28571025,-0.04518067,-0.5674787152123086,0.04000000000000625,94.61
0.5033859,-0.032829594,1.4282360280185071,0.07000000000000739,94.68
-0.20923474,0.86879915,-0.3177500910258178,2.259999999999991,96.94
-0.27414167,-0.65038353,-0.4910883237772379,-1.4299999999999926,95.51
0.073266365,-0.53922385,0.359438350940924,-1.1600000000000108,94.35
-0.1349629,-1.1156075,-0.1604819395714041,-2.559999999999988,91.79
-0.5363707,-0.11928715,-1.1500739288860768,-0.14000000000000057,91.65
-0.28062275,-0.37454277,-0.5282177489241358,-0.7600000000000051,90.89
-0.10989024,-0.7862454,-0.10667457575370451,-1.7600000000000051,89.13
-0.19475988,0.24301116,-0.3317853056829903,0.7400000000000091,89.87
-0.25756168,0.016574722,-0.4180835400458268,0.18999999999999773,90.06
0.24224819,0.06186201,0.7854337954457881,0.29999999999999716,90.36
0.44325733,0.6135435,1.2347428682068329,1.6400000000000006,92.0
0.1566362,0.6176605,0.5690231776382804,1.6500000000000057,93.65
-0.12359682,0.5476711,-0.14085841876848107,1.4799999999999898,95.13
0.47952825,-0.5845111,1.3702287055541074,-1.269999999999996,93.86
-0.60912144,0.09891525,-1.2942217711095978,0.39000000000000057,94.25
-0.7705504,-0.85623485,-1.6774103501379802,-1.9300000000000068,92.32
-0.36760575,-0.7574262,-0.7303688964513801,-1.6899999999999977,90.63
0.6563493,0.13596848,1.8090517805796842,0.480000000000004,91.11
0.6693891,1.1158208,1.792911986058184,2.8599999999999994,93.97
1.2757552,0.8193948,3.3422844970356986,2.1400000000000006,96.11
0.9785656,1.6716193,2.3587830689333447,4.209999999999994,100.32
0.4394393,0.47356462,1.2527575124211727,1.3000000000000114,101.62
1.2546118,-0.22632983,3.2872771808280845,-0.4000000000000057,101.22
0.019776538,1.461651,0.22417258556699476,3.700000000000003,104.92
0.5248256,-0.69978786,1.4629974023625612,-1.5499999999999972,103.37
0.2997835,0.85644805,0.9183986295055087,2.2299999999999898,105.6
0.38838118,-0.1275212,1.1347351434700186,-0.1599999999999966,105.44
-0.65285754,-1.2885226,-1.4610248336143783,-2.980000000000004,102.46
-0.02948524,-0.65038353,0.14196830975693348,-1.4299999999999926,101.03
-0.23348157,0.08656417,-0.39087339889721995,0.35999999999999943,101.39
0.29836828,-0.2675001,0.8770981260727335,-0.5,100.89
0.45645827,1.1075866,1.2934990730354095,2.8400000000000034,103.73
1.0519302,0.19772388,2.7559900461879807,0.6299999999999955,104.36
-0.76369804,0.08656417,-1.7338605476464717,0.35999999999999943,104.72
0.5874994,-0.16457443,1.5718068267322176,-0.25,104.47
-0.026014984,1.5645766,0.13427874636487863,3.950000000000003,108.42
-0.058187723,-0.87681997,0.035390227449838996,-1.980000000000004,106.44
-0.66311795,-0.51040465,-1.4538786399721924,-1.0900000000000034,105.35
0.80248225,-0.35395765,2.121832481914068,-0.7099999999999937,104.64
0.6643487,1.0870016,1.8271263684690817,2.7900000000000063,107.43
-0.33813614,0.531203,-0.6082104027604966,1.4399999999999977,108.87
0.009264233,-1.2555864,0.20149769725013184,-2.9000000000000057,105.97
-0.2673032,-0.66685164,-0.48462699994724695,-1.4699999999999989,104.5
0.43596798,-0.19339362,1.2587499545439989,-0.3199999999999932,104.18
0.12301644,0.39534113,0.4735895428854715,1.1099999999999994,105.29
0.0011859909,-0.012244462,0.17416810905931832,0.11999999999999034,105.41
-0.5784139,0.16890469,-1.2739697665689413,0.5600000000000023,105.97
0.46791795,-0.9344583,1.3017571644631174,-2.1200000000000045,103.85
1.4385785,-0.11928715,3.7468640844253986,-0.14000000000000057,103.71
0.08945836,1.5357574,0.4076399481731615,3.8800000000000097,107.59
0.09876829,-0.16457443,0.38440469467084926,-0.25,107.34
-0.712719,-0.11928715,-1.5316456755589534,-0.14000000000000057,107.2
-0.044653922,-0.8356497,0.05368037342495857,-1.8800000000000097,105.32
-0.39146155,-0.024595542,-0.8044599239948155,0.09000000000000341,105.41
0.28404933,-0.35807467,0.8450130926246393,-0.7199999999999989,104.69
0.22184883,0.30064952,0.7374094742944548,0.8799999999999955,105.57
0.58060086,0.844097,1.6162877456421652,2.200000000000003,107.77
