trade_date,capital,AAPL_ratio,GOOGL_ratio,MSFT_ratio,AMZN_ratio,META_ratio,cash_ratio
2023-01-12,1.0,,,,,,
2023-01-13,0.9969773955399859,0.0017553162808543747,3.6288323897157463e-09,0.9964340228042177,1.4320898661063949e-06,0.001804362113207968,4.863083021419219e-06
2023-01-17,0.9963709578475486,0.5486743128442269,0.02273152144395622,5.728994044454219e-06,1.360459610741454e-09,0.4249612850144827,0.0036271503428301653
2023-01-18,0.9908363845043289,7.416596718446594e-11,5.230219828602037e-06,1.5963817359405248e-16,0.9999750954481982,1.9674197922686356e-05,5.988433932893021e-11
2023-01-19,0.9803129484605269,0.0043023783746122144,0.9956678933908072,1.1303781375420093e-05,1.84217198764434e-05,1.168765958047156e-09,1.5645628473532395e-09
2023-01-20,1.0247398291516014,2.3169565189697084e-08,0.044656284306254825,0.0005976732139012026,2.4483388191650568e-08,0.954745994826623,2.675564301778431e-13
2023-01-23,1.0551568683722736,0.00010328739199747849,3.6862944622825625e-11,0.00565303133613026,6.5075385204264884e-18,0.9942436811919058,4.310350786312709e-11
2023-01-24,1.0520727529236762,0.7741034938801846,0.047776655787901655,2.262267432952965e-09,4.3301807235028554e-07,0.17781924983918845,0.0003001652123855456
2023-01-25,1.0246089168271162,1.6440686798377863e-08,0.8435369843558268,2.0088743471728458e-07,7.519674950837532e-12,0.1564627982310091,7.752293774343632e-11
2023-01-26,1.0527908240259536,9.384102464437968e-16,1.507281628369209e-19,1.0878141685400377e-16,0.9999999999243661,7.56328136193154e-11,2.4530245204555734e-17
2023-01-27,1.0769058249514785,4.865827805193289e-17,2.766595228445107e-13,0.00026905887326477784,0.999730282870793,6.58255268019858e-07,3.973819762864731e-13
2023-01-30,1.0452316290249197,6.053141599933358e-18,2.2529862674262074e-07,1.9096571852520967e-17,0.9999997747013715,1.8760792807413037e-15,3.58459691893681e-18
2023-01-31,1.0683494308712416,5.941196634665363e-22,8.774277912541503e-07,8.160637548346007e-16,0.9999972057920531,1.9167786107865816e-06,1.5441737530536724e-12
2023-02-01,1.0926690951188838,3.384741731161596e-91,1.8442625032830807e-74,5.0092701148521235e-80,5.361211358614064e-89,1.0,4.557428091422831e-100
2023-02-02,1.246458428350795,0.9999565088183806,1.5647584453582177e-10,1.8639607959076376e-11,6.849629353289741e-23,4.3475821683284184e-05,1.5184820707248747e-08
2023-02-03,1.153933486043597,4.836219047024477e-17,1.0625604492145919e-23,8.497753077283227e-11,0.9999999999150224,1.905252926811208e-28,4.762489034751458e-17
2023-02-06,1.1342195273326714,3.161567260521119e-22,6.661265392805582e-22,2.082643967160262e-15,3.784036826363971e-37,0.999999999999998,3.739292360720667e-28
2023-02-07,1.1650908750252031,1.3951165484131718e-09,3.1955983298498778e-15,0.9997958806587726,9.076614647919463e-15,5.18401876885871e-07,0.00020359954422156346
2023-02-08,1.1914297590457386,0.006412680467102872,1.944761143138787e-10,0.9935852414946419,8.965404303942083e-10,3.4309327567708e-23,2.076947238676816e-06
2023-02-09,1.1790944882783878,0.9999995493386248,1.065981078422849e-20,7.507075316815528e-17,1.251155234323677e-18,1.0816027068332253e-15,4.506613740308857e-07
2023-02-10,1.1830969644497467,9.356366698929409e-07,1.9845071015065295e-16,0.9999990642213427,4.512088582290944e-11,3.3232215743626644e-13,9.653386915771989e-11
2023-02-13,1.2102691319877366,0.860159299209769,1.4034275959367096e-06,0.13919693746947653,5.099624144384548e-05,9.098160343724047e-07,0.0005904538356804043
2023-02-14,1.2071168249875734,0.0003356304028413015,0.007600085936209044,5.796873992155768e-06,0.9920584422329944,4.2650643026427214e-08,1.9033198778417186e-09
2023-02-15,1.2344635930809444,0.4548148479578827,0.0008502141326820219,2.3339397700119787e-09,0.5193841983873114,2.513270079467594e-12,0.024950737185670858
2023-02-16,1.2106853975887715,1.1857332091520022e-06,2.7358550882357204e-06,3.395714040987206e-09,5.945043528747096e-09,0.9995469647194118,0.0004491043515331979
2023-02-17,1.1963952771805713,0.6839809155389652,0.30903105595705943,1.216017715546096e-13,3.4951647410894023e-07,1.5101349632935024e-10,0.006987678836366122
2023-02-21,1.177885624459768,0.05262444512410552,0.1093421321458359,1.1340487445242667e-06,0.08373770963568246,0.14814602768787366,0.6061485513577579
2023-02-22,1.184360205920965,1.1625968988801573e-06,4.809519043998696e-07,0.002197100771411891,0.8529065694876368,1.7825934942747403e-07,0.14489450793279848
2023-02-23,1.1836093989352385,0.000434991779564045,0.0029948945640299895,0.0042414475919888076,3.4569270862061294e-06,9.602829189640875e-08,0.9923251131090391
2023-02-24,1.1615557055422931,0.9872918907494538,0.0002842126616528772,0.011497337145964988,3.240633974626611e-10,2.2086574537522357e-13,0.0009265591186441009
2023-02-27,1.1539076891407483,0.009775003576682888,0.00014754503923961827,3.906936148494009e-06,0.06217799760299945,0.9216334253139943,0.006262121530935393
2023-02-28,1.180995629411727,7.98939026826702e-10,1.8329934541201535e-08,6.916968758397052e-12,0.9997753772539505,0.0002226199727318115,1.9836375272928767e-06
2023-03-01,1.1764382810590233,2.4134753609260624e-05,0.03173295801396941,0.00024763593362368494,2.668860685301569e-08,0.9679903712627651,4.8733474257700825e-06
2023-03-02,1.191281855735353,2.5972070775708e-09,1.0312662616258764e-07,3.9799262593589474e-05,2.0273971170922394e-10,0.9999600948107243,1.0913568933704384e-13
2023-03-03,1.2309454830768851,0.002546908712969896,0.9434459983548603,6.298979386028128e-05,7.927383488125271e-05,0.05200240198630397,0.0018624273171243583
2023-03-06,1.2375711261774276,0.9999999826655762,2.3020842631275664e-10,5.208202767361102e-09,6.457656473145943e-09,4.39160668514101e-09,1.0467492389529852e-09
2023-03-07,1.2177526370921592,4.597690059925041e-18,2.0065332097791736e-13,5.525489781979551e-18,0.9999999999997993,4.785188548306283e-22,1.0089462154484214e-19
2023-03-08,1.2181276933981713,6.26222441549684e-17,4.947467582238565e-19,7.438457453474102e-18,0.9999999999994655,4.620031905256071e-15,5.297547493519187e-13
2023-03-09,1.2017527350446326,2.521298736863278e-08,9.521262375467948e-15,2.5683155075479753e-15,9.788255877010676e-13,0.9999993976230261,5.771629953579466e-07
2023-03-10,1.180939845033952,0.0010919391421122435,1.6707824052105942e-10,0.997665611917572,0.0012418252396237217,1.4222817821448828e-07,4.813054355213011e-07
2023-03-13,1.1882260021651456,1.4020776977942106e-08,0.3088911113081809,2.9324011005064425e-08,3.484531101272066e-09,0.691108841285498,5.770020358486205e-10
2023-03-14,1.2394231059030625,6.99420355839896e-10,9.105057634333415e-08,3.658779406868213e-15,0.9999999082013944,4.860521304112403e-11,2.259976818444564e-16
2023-03-15,1.2657925124863019,1.4520008529864623e-14,4.873244014698189e-07,1.1561605544095363e-05,2.22300224997398e-09,0.9999879488470376,1.3632263515344273e-22
2023-03-16,1.3187443240345234,6.913026273448441e-06,0.87832373319516,0.12166933313099693,2.062538811793081e-08,5.9068775699081865e-12,1.6274700264347357e-11
2023-03-17,1.305964250946508,0.0012751545066791447,0.3931256869129361,0.0024446886850890354,4.2797495188349245e-09,0.6031531046261249,1.3609894213171393e-06
2023-03-20,1.3093314933913491,1.2400335480975183e-08,0.9717867043346398,1.0423604832933693e-13,2.068653641920792e-07,0.028213076399549418,6.948354718581651e-15
2023-03-21,1.351676789312921,1.059761819949443e-07,0.0024652339669017963,5.01666536041809e-13,0.9972695642460995,4.855972340746016e-09,0.0002650909543426686
