ticker,source_ticker,sentiment,sentiment_score,news_id,time,article_url
NFLX,NFLX,positive,0.9231626987457275,b4891e6f6a873a3d86a2b7ff956ef99ed78055754af488a3299a2ae0401e2757,2024-10-29 09:25:00,https://www.fool.com/investing/2024/10/29/warren-buffett-loves-siriusxm-but-these-2-media-st/?source=iedfolrf0000001
NFLX,NFLX,positive,0.8985030055046082,7a529f45418bafc711897e528dd6c9f3923e3e59a30543d285c2a2d4ef15cedc,2024-10-26 13:30:00,https://www.fool.com/investing/2024/10/26/2-soaring-growth-stocks-that-are-still-worth-buyin/?source=iedfolrf0000001
NFLX,NFLX,positive,0.7282633781433105,7750c244ea91fba1364fdcd4c14b8663478c6b5c20a7723f76e8a2251496e8d8,2024-10-26 08:47:00,https://www.fool.com/investing/2024/10/26/think-you-know-amazon-heres-1-little-known-fact-yo/?source=iedfolrf0000001
NFLX,NFLX,neutral,0.0,19b46dacf51ea5fcb9e1c861c501fa46a7427718de1248094b378a0c72565b44,2024-10-25 11:00:00,https://www.globenewswire.com/news-release/2024/10/25/2969374/0/en/Casa-XOLO-The-Mysterious-House-Behind-Netflix-s-Perfect-Match-Season-2-and-the-Emmy-Winning-Episode-of-Staycation-Revealed.html
NFLX,NFLX,neutral,0.0,be489e922c2092e6d8d196a415da52d22e603dbad9b1c341b5f1b8cc04690cce,2024-10-24 15:23:00,https://www.fool.com/investing/2024/10/24/should-you-forget-nvidia-and-buy-these-2-stocks/?source=iedfolrf0000001
NFLX,NFLX,positive,0.944241464138031,6492f571e1c3a932b24b421e7057d16c2c005f21c633c88922ea1671469a1928,2024-10-24 11:10:00,https://www.fool.com/investing/2024/10/24/netflix-projects-43-billion-or-more-in-revenue/?source=iedfolrf0000001
NFLX,NFLX,neutral,0.0,d5b350a36b3f07c890dab1a8a583153a30f9a4f32fb23e87c31bd4684544eec9,2024-10-24 10:45:00,https://www.fool.com/investing/2024/10/24/can-trump-media-technology-stock-soar-higher-after/?source=iedfolrf0000001
NFLX,NFLX,positive,0.5433276693026224,3d38a763ba35d5a1f21cdaf8449d8d4b3f26493dccd86532ffb0393a63e4a04e,2024-10-24 09:30:00,https://www.fool.com/investing/2024/10/24/sp-500-bull-1-growth-stock-buy-in-october-long-run/?source=iedfolrf0000001
NFLX,NFLX,positive,0.9089605808258057,dd28bb3e3ecd9340b5afad2f04b4bb962453e09c6cb869fa4293ab81f10c560e,2024-10-23 10:20:00,https://www.fool.com/investing/2024/10/23/2-faang-stocks-adding-portfolio-october/?source=iedfolrf0000001
NFLX,NFLX,neutral,0.0,df5d634bc4e6415c88c58faa81879656ab05ed84037525034d027f118c414ac3,2024-10-22 16:35:00,https://www.investing.com/analysis/siriusxm-stock-4-reasons-to-buy-this-monopoly-200653289
