news_id,source_ticker,sentiment_score,time,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
c43a8e6d-1687-428b-bf65-e65df44a9db8,ORCL,0.0,2022-01-14 15:30:00,,12.760493,,
c43a8e6d-1687-428b-bf65-e65df44a9db8,SAP,0.0,2022-01-14 15:30:00,,11.809217,,
c43a8e6d-1687-428b-bf65-e65df44a9db8,SAPGF,0.0,2022-01-14 15:30:00,,11.809059,,
c43a8e6d-1687-428b-bf65-e65df44a9db8,SAP.MI,0.0,2022-01-14 15:30:00,,11.808821,,
c43a8e6d-1687-428b-bf65-e65df44a9db8,SAP.BA,0.0,2022-01-14 15:30:00,,11.8088,,
c43a8e6d-1687-428b-bf65-e65df44a9db8,ORCL.BA,0.0,2022-01-14 15:30:00,,8.386406,,
c43a8e6d-1687-428b-bf65-e65df44a9db8,SAPD.BA,0.0,2022-01-14 15:30:00,,11.8088,,
c43a8e6d-1687-428b-bf65-e65df44a9db8,SAP.DE,0.0,2022-01-14 15:30:00,,11.810762,,
c43a8e6d-1687-428b-bf65-e65df44a9db8,ORC.DE,0.0,2022-01-14 15:30:00,,8.38685,,
c43a8e6d-1687-428b-bf65-e65df44a9db8,ORCL.MX,0.0,2022-01-14 15:30:00,,8.38666,,
c43a8e6d-1687-428b-bf65-e65df44a9db8,SAPN.MX,0.0,2022-01-14 15:30:00,,11.809786,,
c43a8e6d-1687-428b-bf65-e65df44a9db8,SAP1N.MX,0.0,2022-01-14 15:30:00,,11.809731,,
ed33c9e7-f371-4961-b26c-efa9dd9925b9,ORCL,0.368327,2022-01-14 12:18:43,,72.166214,,
eeca18da-068c-41ac-9974-c932c7f8b89a,SAP.MI,,2022-01-14 11:27:03,,23.306849,,
eeca18da-068c-41ac-9974-c932c7f8b89a,EURUSD,,2022-01-14 11:27:03,,62.79649,,
eeca18da-068c-41ac-9974-c932c7f8b89a,SAP.BA,,2022-01-14 11:27:03,,23.304415,,
eeca18da-068c-41ac-9974-c932c7f8b89a,ORCL.BA,,2022-01-14 11:27:03,,16.240576,,
eeca18da-068c-41ac-9974-c932c7f8b89a,DOCU.BA,,2022-01-14 11:27:03,,30.907028,,
eeca18da-068c-41ac-9974-c932c7f8b89a,SAPD.BA,,2022-01-14 11:27:03,,23.304407,,
eeca18da-068c-41ac-9974-c932c7f8b89a,DOCUD.BA,,2022-01-14 11:27:03,,30.907028,,
eeca18da-068c-41ac-9974-c932c7f8b89a,CSU.TO,,2022-01-14 11:27:03,,36.85295,,
eeca18da-068c-41ac-9974-c932c7f8b89a,SAP.DE,,2022-01-14 11:27:03,,23.306454,,
eeca18da-068c-41ac-9974-c932c7f8b89a,ORC.DE,,2022-01-14 11:27:03,,16.24001,,
eeca18da-068c-41ac-9974-c932c7f8b89a,DOCU,,2022-01-14 11:27:03,,30.922043,,
eeca18da-068c-41ac-9974-c932c7f8b89a,ORCL,,2022-01-14 11:27:03,,25.265081,,
eeca18da-068c-41ac-9974-c932c7f8b89a,NOW,,2022-01-14 11:27:03,,30.318062,,
eeca18da-068c-41ac-9974-c932c7f8b89a,SAP,,2022-01-14 11:27:03,,23.307112,,
eeca18da-068c-41ac-9974-c932c7f8b89a,DOCU.MX,,2022-01-14 11:27:03,,30.9161,,
eeca18da-068c-41ac-9974-c932c7f8b89a,CNSWF,,2022-01-14 11:27:03,,36.85343,,
eeca18da-068c-41ac-9974-c932c7f8b89a,ORCL.MX,,2022-01-14 11:27:03,,16.239101,,
eeca18da-068c-41ac-9974-c932c7f8b89a,SAPN.MX,,2022-01-14 11:27:03,,23.302559,,
eeca18da-068c-41ac-9974-c932c7f8b89a,SAP1N.MX,,2022-01-14 11:27:03,,23.302284,,
eeca18da-068c-41ac-9974-c932c7f8b89a,NOWW.MX,,2022-01-14 11:27:03,,30.313772,,
eeca18da-068c-41ac-9974-c932c7f8b89a,SAPGF,,2022-01-14 11:27:03,,23.302105,,
eeca18da-068c-41ac-9974-c932c7f8b89a,0XNH.L,,2022-01-14 11:27:03,,30.913803,,
eeca18da-068c-41ac-9974-c932c7f8b89a,0L5N.L,,2022-01-14 11:27:03,,30.312332,,
eeca18da-068c-41ac-9974-c932c7f8b89a,D1OC34.SA,,2022-01-14 11:27:03,,30.918827,,
eeca18da-068c-41ac-9974-c932c7f8b89a,N1OW34.SA,,2022-01-14 11:27:03,,30.310295,,
