id,publish_time,title,article_url,ticker,publisher,description,keywords
0f343665-248f-4c35-b4e7-8743f33119b5,2022-01-05 18:42:08,Jim Cramer names 4 tech stocks that look attractive after Nasdaq's rough start in 2022,https://www.cnbc.com/2022/01/05/cramer-4-tech-stocks-that-look-good-after-nasdaqs-rough-2022-start.html,NVDA,cnbc.com,,"NASDAQ Composite, NVIDIA Corp, Palo Alto Networks Inc, Meta Platforms Inc, Salesforce.Com Inc, Markets, Business, Investment strategy, Stock markets, Jim Cramer, business news"
94d97ae4-5f54-4644-a927-19a6ef69d71d,2022-01-05 17:42:29,"What Investors Should Know About Amazon, Sony And John Deere's Latest To Push Into The Electric Vehicle Sector",https://markets.businessinsider.com/news/stocks/what-investors-should-know-about-amazon-sony-and-john-deere-s-latest-to-push-into-the-electric-vehicle-sector-1031080385,AMZ.DE,markets.businessinsider.com,"Many traditional automotive companies have been transitioning into the electric vehicle space, which for years has been dominated by Tesla Inc (NA...",
09638628-daac-475c-b615-affb0fc2172c,2022-01-05 17:22:26,Market Highlights and 5 ASX Small Caps to watch on Thursday,https://stockhead.com.au/news/market-highlights-and-5-asx-small-caps-to-watch-on-thursday-40/,BNO.AX,stockhead.com.au,"ASX small caps to watch on Thursday 6 January, and highlights from Wall Street overnight. Stocks to watch include Humm Group",
