id,publish_time,title,article_url,ticker,publisher,description,keywords
098835ca-991f-4aac-9128-23935145f767,2023-03-22 15:01:00,Netflix (NFLX) Casts Gabriel Leone as Lead of Senna Miniseries,https://www.zacks.com/stock/news/2069259/netflix-nflx-casts-gabriel-leone-as-lead-of-senna-miniseries?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-2069259,NFLX,zacks.com,"Netflix (NFLX) is casting Gabriel Leone as its lead actor for the upcoming miniseries Senna, which will portray the life of the three-time F1 champion Aryton Senna da Silva.","stock, stocks, investment, investment advice, investing, online trading, online investment, online stock trading, stock market, financial, financial planning, quote, quotes, stock quotes"
4a77ac14-96b3-4a6d-8a86-3d653080bff7,2023-03-22 11:00:00,Alig mozdulnak az amerikai tőzsdék,https://www.portfolio.hu/uzlet/20230322/alig-mozdulnak-az-amerikai-tozsdek-604516,AAPL,portfolio.hu,"Minimális elmozdulások látszanak az amerikai tőzsdéken a nyitás után, a Dow Jones stagnál, a S&P 500 stagnál, míg a Nasdaq 0,3 százalékos pluszban áll.",
ad1808e5-bf90-4f03-9e83-c762e222e50b,2023-03-22 10:39:26,Apple and Microsoft Weight in S&P 500 Reaches Record High,https://www.etftrends.com/portfolio-strategies-channel/apple-microsoft-weight-sp-500-reaches-record-high/,NFLX34.SA,etftrends.com,"The combined weight of Apple and Microsoft, the largest two constituents, in the S&P 500, has reached an all-time high.",
