id,publish_time,title,article_url,ticker,publisher,description,keywords
79e4747f-5e23-44f5-b3e6-a42d8acff4c2,2023-02-20 18:28:00,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates,https://www.globenewswire.com/news-release/2023/02/20/2611689/1087/en/SHAREHOLDER-ALERT-Pomerantz-Law-Firm-Investigates-Claims-On-Behalf-of-Investors-of-Alphabet-Inc-GOOG.html,ABEA.DE,globenewswire.com,"NEW YORK, Feb.  20, 2023  (GLOBE NEWSWIRE) -- Pomerantz LLP is investigating claims on behalf of investors of Alphabet Inc. (“Alphabet” or the “Company”)...","Pomerantz LLP, Class Action"
2ed45e33-53fb-4613-a56f-ee09f2bd0645,2023-02-20 17:00:54,"Capital Impact Advisors, LLC's Top 5 Sells of the 4th Quarter",https://www.gurufocus.com/news/1953846/capital-impact-advisors-llcs-top-5-sells-of-the-4th-quarter,GOOGL.BA,gurufocus.com,GuruFocus Article or News written by insider and the topic is about:,"GuruFocus, Article, News, insider, ELF, GBT, META, EXEL, GOOGL"
24ea0aac-ba31-4053-a148-7b5fec4d4b5d,2023-02-20 17:00:53,"GREEN SQUARE CAPITAL ADVISORS LLC Buys 3, Sells 2 in 4th Quarter",https://www.gurufocus.com/news/1953845/green-square-capital-advisors-llc-buys-3-sells-2-in-4th-quarter,^IEFA-IV,gurufocus.com,GuruFocus Article or News written by insider and the topic is about:,"GuruFocus, Article, News, insider, VOO, AAPL, GOOGL, IEFA, AMZN"
