id,publish_time,title,article_url,ticker,publisher,description,keywords
9a0f775d-caff-4199-85e6-91a5d63ca47a,2023-02-17 15:40:38,WWE front man Vince McMahon wants to sell his wrestling empire for $9 billion—but the price might be too high for skittish investors,https://fortune.com/2023/02/17/wwe-vince-mcmahon-asking-sale-price-9-billion/,NFLX34.SA,fortune.com,"The list of potential buyers for the WWE includes Endeavor Group Holdings Inc., the owner of Ultimate Fighting Championship, as well as investors from the Middle East.",
2f217a55-f3e8-4faf-b47e-bf443e7c2892,2023-02-17 13:19:26,LiveOne Subsidiary Palm Beach Records Achieves Double-Platinum Success,https://www.startup365.fr/liveone-subsidiary-palm-beach-records-achieves-double-platinum-success/,AAPL,startup365.fr,,
fc016a7a-554b-4bdc-a3e4-78ea924c09d3,2023-02-17 13:00:15,"Claar Advisors LLC Buys 1, Sells 4 in 4th Quarter",https://www.gurufocus.com/news/1952767/claar-advisors-llc-buys-1-sells-4-in-4th-quarter,ADBE,gurufocus.com,GuruFocus Article or News written by insider and the topic is about:,"GuruFocus, Article, News, insider, ITOT, NFLX, AAP, MSFT, ADBE"
