trade_date,all_score,pos_score,neg_score,50_ma,200_ma,prices,capital,position,ratios,lst_capital,lst_ratios,real_delta,real_delta_ratio,pred_delta,pred_delta_ratio
2023-03-30,-0.08269683519999185,0.14368842542171478,-0.22638526062170664,97.005,94.64766990291261,100.89,1.1571344919211155,0.011342222039253964,0.9876964871283227,1.1282783070299776,1,-0.5,-0.2675001,0.8770981260727335,0.29836828
2023-03-31,-0.0072378218173980826,0.225920969247818,-0.23315879106521606,97.2004,94.70769230769231,103.73,1.1896401686545326,0.01145148300777758,0.9984492975717486,1.1600387430688828,1,2.8400000000000034,1.1075866,1.2934990730354097,0.45645827
2023-04-03,0.4423489173253377,0.4860371510187785,-0.043688233693440756,97.414,94.79361904761905,104.36,1.196862728174622,0.011468610199079151,0.9999989638009167,1.167084191908499,1,0.6299999999999955,0.19772388,2.7559900461879807,1.0519302
2023-04-04,0.0010994573434193991,0.15611491600672403,-0.15501545866330466,97.5408,94.8838679245283,104.72,1.1950684493751953,1.969723811061191e-06,0.00017174933439180058,1.1711101626739941,1,0.3599999999999994,0.08656417,-1.7338605476464717,-0.76369804
2023-04-05,-0.1782048692305883,0.11219293375809987,-0.29039780298868817,97.63940000000001,94.97579439252337,104.47,1.1904249406708272,0.011407630216626432,0.9996139023749505,1.1683143496424004,1,-0.25,-0.16457443,1.5718068267322176,0.5874994
2023-04-06,0.01749027827206781,0.13319806491627412,-0.11570778664420633,97.7748,95.0637037037037,108.42,1.219607268122193,0.00754131600503623,0.6618151687935666,1.2124881955415818,1,3.950000000000003,1.5645766,0.1342787463648786,-0.026014984
2023-04-10,0.0655181545477647,0.26938157356702364,-0.20386341901925895,98.03880000000001,95.18623853211008,106.44,1.2072570843540649,0.006120789683019524,0.5441227145642828,1.1903453563313593,1,-1.980000000000004,-0.87681997,0.0353902274498389,-0.058187723
2023-04-11,-0.05083570354863216,0.22682444359126844,-0.2776601471399006,98.21719999999999,95.28854545454546,105.35,1.2062724943262608,7.894691202273441e-06,0.0006960497001511389,1.1781556115136105,1,-1.0900000000000034,-0.51040465,-1.4538786399721924,-0.66311795
2023-04-12,-0.037348318099975596,0.2129501521587372,-0.25029847025871277,98.3368,95.37918918918919,104.64,1.1963349774657737,0.011449859645821967,0.9999753118478149,1.1702155025038843,1,-0.7099999999999937,-0.35395765,2.121832481914068,0.80248225
2023-04-13,0.04391135952689431,0.13182188705964523,-0.08791052753275092,98.4908,95.46187499999999,107.43,1.2282263727029734,0.011431633007305082,0.9998922546077831,1.2014167759364707,1,2.7900000000000063,1.0870016,1.8271263684690815,0.6643487
2023-04-14,0.30178193913565743,0.37958407402038574,-0.07780213488472833,98.6626,95.56778761061946,108.87,1.2272190547817046,0.0005213972374103255,0.045605359451548984,1.2175206589984506,1,1.4399999999999975,0.531203,-0.6082104027604966,-0.33813614
2023-04-17,-0.0945464829603831,0.17816734910011292,-0.272713832060496,98.83139999999999,95.68447368421053,105.97,1.2020095590087256,0.00825730462648483,0.7325283543982383,1.185089227831963,1,-2.9000000000000057,-1.2555864,0.2014976972501318,0.009264233
2023-04-18,0.0031967908143997283,0.15668150782585144,-0.15348471701145172,98.796,95.77391304347826,104.5,1.1994861343496994,0.0009236027765051735,0.08142546412606586,1.1686498472061917,1,-1.4699999999999989,-0.66685164,-0.4846269999472469,-0.2673032
2023-04-19,-0.3409625768661499,0.07800500392913819,-0.41896758079528806,98.7904,95.84913793103448,104.18,1.1941687054533725,0.011457165456831165,0.9981555900918837,1.1650712065257518,1,-0.3199999999999932,-0.19339362,1.2587499545439989,0.43596798
2023-04-20,0.06798579692840576,0.23852595885594685,-0.1705401619275411,98.816,95.92034188034188,105.29,1.2056498015083699,0.010480787905372914,0.9143502747940535,1.177484616386028,1,1.1099999999999994,0.39534113,0.4735895428854715,0.12301644
2023-04-21,0.09367850124835966,0.23885143399238587,-0.14517293274402618,98.76899999999999,95.99974576271185,105.41,1.2062379738561289,0.008071871428910199,0.7049205678851969,1.178826606641193,1,0.1199999999999903,-0.012244462,0.1741681090593183,0.0011859909
2023-04-24,-0.08234747113852665,0.17268172214771138,-0.255029193286238,98.8898,96.07882352941176,105.97,1.2049757378219061,1.9562210452925106e-05,0.0017094907046002034,1.185089227831963,1,0.5600000000000023,0.16890469,-1.2739697665689411,-0.5784139
