trade_date,all_score,pos_score,neg_score,50_ma,200_ma,prices,capital,position,ratios,lst_capital,lst_ratios,real_delta,real_delta_ratio,pred_delta,pred_delta_ratio
2024-03-26,0.14531525472799936,0.20356008410453796,-0.0582448293765386,168.92669999999998,144.753425,178.3,2.5190341946515655,0.011952765830874127,0.8459950202248543,1.8585679310872607,1,-1.4099999999999966,-0.5839893,0.3407057070473585,0.0498638
2024-03-27,0.48448230028152467,0.5813029944896698,-0.09682069420814514,169.40030000000002,145.023675,179.83,2.540068285487194,0.014128013634439282,0.9999962828487755,1.8745163827673703,1,1.5300000000000011,0.4985117,2.500509853148065,0.83340555
2024-03-28,0.16385968923568725,0.16385968923568725,0.0,169.93370000000002,145.30567499999998,180.38,2.5445917107193523,0.010167047398862324,0.7197995991618508,1.8802494863125074,1,0.549999999999983,0.13767804,0.1886935548651101,-0.0007467568
2024-04-01,0.26047355813138623,0.32146573592634764,-0.06099217779496137,170.50709999999998,145.574725,180.97,2.5518486732322634,0.014106578900544554,0.9999815260582169,1.8863995428427458,1,0.5900000000000034,0.15240595,2.179826179394564,0.72859806
2024-04-02,0.14952893058458963,0.1954637500974867,-0.04593481951289707,171.05650000000003,145.846275,180.69,2.5479880870513774,0.0036611826142314632,0.25964087316284323,1.8834808719470395,1,-0.2800000000000011,-0.16792598,-0.209567191175423,-0.14212482
2024-04-03,0.32634990865534,0.32634990865534,0.0,171.56349999999998,146.117625,182.41,2.5595351279902596,0.007284325231481688,0.5165662793971636,1.901409850306378,1,1.7199999999999989,0.5684693,0.0132578762893276,-0.07647196
2024-04-04,0.5090695089764066,0.5090695089764066,0.0,172.11610000000002,146.394125,180.0,2.5241939967075946,0.01391191803998601,0.9914585433591694,1.876288432954049,1,-2.4099999999999966,-0.95218694,0.9508491149889806,0.26722994
2024-04-05,0.3001789221396813,0.4346354970565209,-0.1344565749168396,172.5957,146.666675,185.07,2.595250751796646,0.014020945253803206,0.9998320846085641,1.929137223815588,1,5.069999999999993,1.8019313,1.7383764796672148,0.57406986
2024-04-08,0.14711361271994455,0.21325652939932688,-0.06614291667938231,173.1597,146.963125,185.19,2.59135846883666,3.891290283145856e-09,2.774919117943608e-07,1.9303880827708906,1,0.1200000000000045,-0.020646939,-3.0194947546759465,-1.2040685
2024-04-09,0.2871819376945496,0.32626705964406333,-0.03908512194951375,173.7085,147.264925,185.67,2.594185242167207,0.013979043343002663,0.9990046023438992,1.9353915185921013,1,0.4799999999999897,0.111904204,1.3822744705760297,0.44828138
2024-04-10,0.17745014849831076,0.2883250012117274,-0.1108748527134166,174.23950000000002,147.542525,185.95,2.5980950627711406,0.013971323569486736,0.9999500440375272,1.9383101894878076,1,0.2800000000000011,0.03826468,1.9808637467916488,0.6424864
2024-04-11,0.5147076802594321,0.5147076802594321,0.0,174.7333,147.825625,189.05,2.595829006605676,0.0004826669017970505,0.034545275758090126,1.9706240458331277,1,3.1000000000000227,1.076582,-0.6660656805394466,-0.3320471
2024-04-12,0.19233852128187814,0.3074999550978343,-0.11516143381595612,175.3343,148.13422500000001,186.13,2.595692122566825,4.465203587594785e-09,3.251935070016827e-07,1.9401864779207618,1,-2.920000000000016,-1.1399677,-2.987769020089602,-1.1776425
2024-04-15,0.09953789375722409,0.2521510049700737,-0.15261311121284962,175.9529,148.41897500000002,183.62,2.595689185656434,1.0534068265846172e-06,7.553692940991196e-05,1.9140226781056804,1,-2.509999999999991,-0.9890067,-1.898162670051083,-0.7952733
